timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729023575822,1301,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1552,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,1301,0,166
1729023577126,250,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3928,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ece581d48175236fee74acdd4a7cc&fields=status,DE:api_contentList,DE:api_contentListWithIDs",250,0,0
1729023577377,635,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1552,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,635,0,0
1729023578013,226,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3927,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ece5a1d48285fb309ca000ee3870d&fields=status,DE:api_contentList,DE:api_contentListWithIDs",226,0,0
1729023578239,1201,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1552,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,1200,0,0
1729023579441,234,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3926,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ece5b06c4087ef72b28f88d36194f&fields=status,DE:api_contentList,DE:api_contentListWithIDs",234,0,0
1729023579676,658,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1550,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,658,0,0
1729023580339,189,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3927,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ece5c04dcec0f28d1a0383e980440&fields=status,DE:api_contentList,DE:api_contentListWithIDs",189,0,0
1729023580529,623,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1552,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,623,0,0
1729023581153,211,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3927,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ece5d1d483bf5d20822152d20b5de&fields=status,DE:api_contentList,DE:api_contentListWithIDs",211,0,0
1729023581364,638,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1550,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,638,0,0
1729023582003,202,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3927,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ece5e04dcf42a0f309ecf5ec0e0c4&fields=status,DE:api_contentList,DE:api_contentListWithIDs",202,0,0
1729023582206,581,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1552,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,581,0,0
